asof,total_cost,total_value,pl_yen,pl_pct,updated_at
2026-05-11,194657,194657,0,0.0,2026-08-03 06:56:28
2026-05-20,194657,190313,-4344,-2.23,2026-08-11 18:18:11
2026-05-21,194657,190601,-4056,-2.08,2026-08-13 01:12:44
2026-05-22,194657,191855,-2802,-1.44,2026-08-14 01:19:50
2026-05-25,194657,191818,-2839,-1.46,2026-08-17 01:15:59
2026-05-26,194657,191818,-2839,-1.46,2026-08-18 01:11:37
2026-05-27,194657,192161,-2496,-1.28,2026-08-19 01:09:52
2026-05-28,194657,191923,-2734,-1.4,2026-08-20 01:10:37
2026-05-29,194657,192459,-2198,-1.13,2026-08-21 01:10:12
2026-06-01,194657,189528,-5129,-2.63,2026-08-24 01:12:31
2026-06-02,194657,187711,-6946,-3.57,2026-08-25 01:12:27
2026-06-03,194657,190541,-4116,-2.11,2026-08-26 01:12:28
2026-06-04,194657,191537,-3120,-1.6,2026-08-27 01:13:35
2026-06-05,194657,192013,-2644,-1.36,2026-08-31 01:15:19
2026-06-08,194657,189458,-5199,-2.67,2026-08-31 01:13:46
2026-06-09,194657,189568,-5089,-2.61,2026-09-01 01:11:06
